customerid,transactionvolatility,spendingstabilityindex,creditutilizationratio,debttoincomeratio,missedpaymentcount,digitalactivityscore,portfoliodiversityscore
1,0.0035760292750854072,0.49994709242058233,0.10090991931506346,0.1154166374339272,0,69.66989494689072,22.33008871389488
2,0.08189337806801136,0.8994986920951749,-0.001063567803301177,0.4449010788348242,0,46.262382155643024,89.17236804178148
3,0.06637993568778121,0.6389714848109758,0.12330577981051022,0.3340400658579553,1,53.985211316387556,44.97506705346372
4,-0.0033858545175861343,0.6087114846778767,0.0632818023448604,0.05022711382237233,1,63.34127861439997,80.40210769091247
5,0.023562319444905194,0.5144781442650173,0.09275847184253425,0.1123064109660078,3,43.90781098264,61.74140630252783
6,0.15441701947668748,0.9378853046465878,0.04649554284188749,0.4276995499455203,1,72.74710467653775,87.46793985780903
7,0.44143183687204623,0.804585195035643,0.07135829037558927,0.18708660116507364,0,94.06941249659579,43.172874781518715
8,-0.008322898457946787,0.709201976730466,0.17657689269808885,0.47423883365270464,0,45.79613747725246,73.76598586192193
9,0.0825498072382952,0.8503866066534858,0.02393686211917246,0.40365067184593584,0,69.52789230614657,42.15927910768612
10,0.01862047505734382,0.7872602327152589,0.03616952173883728,0.4120317485902404,1,78.83686443379814,64.22950579658668
11,0.1401422317021514,1.0486901159900752,0.027410682417382974,0.45426174873040814,0,97.89864316938619,44.850057408391244
12,0.22846341722116548,0.7381933303018244,0.00972175011128256,0.3620688160991824,0,96.82650784224155,69.45769571891267
13,0.08254244385130349,0.4778741814885029,0.07287269286926683,0.28079592337074966,1,66.96460942163353,48.85885822860606
14,0.07588459471205761,0.46446838989002714,0.11770959053810448,0.13103493372613562,3,28.35177403511382,55.01660266908265
15,-0.0049165179742236,0.8923610603066048,-0.0038622008558488047,0.657423084813257,0,70.765918330655,55.21753752814963
16,0.3867836917768639,0.8668974710465064,0.09907445551653055,0.2842810849519033,0,71.59481188580853,39.93880758433893
17,0.0025325105362713762,0.7014116246909499,0.046340660584954264,0.09210233393542211,1,40.232268094063414,54.3607139646235
18,0.20916153894935674,0.8231120116951153,0.01653887392526373,0.3862742165945219,1,81.25921772641719,54.108833713576686
19,0.07007956300298901,0.43418229719950696,0.07089156527997818,0.44800317740944906,1,54.51759914572865,97.01115224274824
20,0.002958080203639385,0.16608467062317928,0.05770654663018243,0.6411481085493851,1,71.2840122640468,46.12176695651211
21,0.2370371358891772,0.6822068251946624,0.031795117770056405,0.7860909071571587,0,65.23967735539698,50.64845646541045
22,0.5731333538227968,0.8212215316997228,0.0033750694135099776,1.0970001652809696,1,79.61414173145825,91.57869025199093
23,0.2514046814550084,0.8337192695250544,0.06374493672641078,0.4575355005468146,1,57.92623421110727,66.42002308652306
24,0.37625434088047016,0.6436573980938954,0.03397104886013658,0.9191196223725695,1,78.03834577975,24.522938375121406
25,0.0024511742474600806,0.45719766905999243,0.0007181048394437062,0.05409075299534544,0,75.12643775618929,59.79533828359692
26,0.20361578874705083,0.5407085136031262,0.003812850332741577,0.3028002742238639,0,72.09968118324677,57.823347370559816
27,-0.007217773241309622,0.6690625654798475,0.13112176779418272,0.12642085292108116,0,81.11780122354205,94.44425284178936
28,0.2708413477846663,0.4336939983612737,0.13062833023804143,0.33898453493344205,1,76.70248880077051,42.292531210483375
29,0.3623164561853262,0.7879625543950914,-0.0003766952422105396,0.6396328764068129,0,61.52516985262709,50.420932745431
30,-0.005409583614197105,0.8004420200847252,0.2050656976090273,0.05906537233986425,0,71.72305819129151,67.92292466096526
31,0.41357694039980586,0.6749654601095946,0.13111070438541084,0.14587860620549037,1,77.10693040688889,49.39711375861447
32,0.11798366483785616,0.7676956860373454,0.0695651073425223,0.36974994196036404,4,66.63703886447331,56.0046149314309
33,0.09361659874998489,0.7545017412739958,0.17171356707542906,0.34391113025933356,2,93.28534375990091,34.4421702006311
34,0.05727781520519881,0.9863731714443025,-0.000874834508814093,0.006745739537045908,0,102.53082231660638,66.37967982847096
35,0.347951206964643,0.6198715879424465,0.1200806346407326,0.03847196259778929,1,79.41839985980789,49.23831040681172
36,0.3225102556609866,0.8572365921802265,0.005593946520582732,0.24294281700399634,0,75.20193477639695,74.1097979064235
37,-0.006719461767456081,0.9237303381323674,0.09939212779300796,0.03153338806611469,0,66.26125961652387,49.27326907545168
38,0.1175656990431268,0.32725277946708714,0.09741545016418765,0.08455959990739534,3,69.06260890967161,35.339753114287305
39,0.07727803712585525,0.7585344759859207,0.07913039150916672,0.1862416008369399,0,77.5983810734564,63.45752128547854
40,0.06735513491581532,0.6108987110933669,0.04828123796922514,0.29352964202234133,1,73.1245267092968,78.02854834277612
41,0.03492994226010429,0.9325513437825776,0.08398875359757078,0.014025667007958736,3,47.44890366797643,71.49250184246702
42,0.2782924646659095,0.47618963252498814,0.09144844374333774,0.07396033757345552,0,54.35845509957893,24.27714913826417
43,0.1966641027719468,0.7322470216130893,0.09941899356107603,0.039641646565093475,0,72.47759461708803,55.277551445510724
44,0.38841164040357107,0.600758640996295,0.20961004968887903,0.8089000204748016,2,97.47129656934911,47.5873287229006
45,0.04586367116900163,0.5628633610035226,0.09031042393954886,0.11934748497389318,3,72.96703976043771,57.224190281164084
46,0.0013016030171003612,0.6224461044738566,0.040976324980364354,0.027443805920360054,1,63.835746030957125,59.65527024809687
47,0.057710708198715446,0.6482471576569284,0.05512044082849769,0.05552950118639566,0,97.71568378767408,38.44670813389989
48,-0.0020993068333360065,0.5704142420183511,0.10813207099732801,0.12630852702764037,1,52.15676770118772,40.17413440927451
49,0.6766494579329844,0.48307385746411335,0.048734143301663285,0.4770632255060044,0,77.57531088513478,54.11132795214947
50,0.1747659885872216,0.7420599425932655,0.0813990976319168,0.22362737853636597,1,80.13037822333521,84.9167132331749
51,0.27172139809899687,0.41030235870393683,0.001133051880513325,0.23934836127794648,0,69.42655595543607,49.732467515955626
52,0.18984321376468077,0.78027345950399,0.06845368798910052,0.4372440990464346,0,52.087997775798065,41.29601067916494
53,0.06112097774089352,0.4301417750819954,0.033349357345454265,0.2879152215187666,1,77.45826044282258,77.22149806278071
54,0.1673923590931915,0.6575577050744583,0.03773547339932293,0.033129415293871034,2,57.93606187075847,47.3354546059263
55,0.20738323163738767,0.668152667483445,0.05497340262176326,0.16086888958610568,1,73.54577863953844,85.2829852790029
56,0.006917769178141131,0.6513758417733181,0.08560740797504449,1.562480305780335,0,75.85810971132399,22.23844955339272
57,0.09983580875243789,0.5956785638145403,0.17585512198544168,0.3110830405873498,0,78.59299228892377,52.14167163830181
58,-0.0024776735537851147,0.7906803048280627,0.03771669406043365,0.1720704182595031,2,94.12960115923164,86.53270299911867
59,0.030952444217540842,0.6683226961197151,0.2201242525644751,0.07630973065951224,2,76.4567412486951,78.1647037571263
60,0.14589357866776484,0.842016721354701,0.135641024571031,0.12190903878554771,0,89.15888226475859,56.426379680052264
61,0.034673944919815736,0.7801283331634483,0.02103813859820578,0.031299480708532806,1,64.89098797103964,64.86022584110125
62,0.03910150250769506,0.7143352702636242,0.08361857739715786,0.2768442711631046,0,61.34480140594469,48.95531353733649
63,0.3289866410862077,0.7542605810641201,0.06481142952097636,0.03562386360778791,0,86.92373198160308,38.680042851610054
64,0.24494337437594718,0.7117195653638415,0.061056901671619104,0.08982332350046932,0,92.40868585434808,40.662593390527576
65,0.02224814742654116,0.5930612370193566,0.10964319323660679,0.046447017483550845,3,23.38112235405591,74.48229373528746
66,0.05220253358058145,0.5716464214585724,0.1581915540010341,0.09234737152324185,2,41.70284917804452,92.9460030472807
67,0.18425756180986086,0.8267563338932726,0.038112824702684026,0.7817504290857105,0,77.2786264221165,49.07620338601589
68,0.4244028592502309,0.6559847013448651,0.09658727648629994,0.6704921696221736,2,82.12566616415779,72.13293890468339
69,0.3320570477373457,0.5584962191116285,6.116766494318471e-05,0.055720362809142304,0,79.16968875835482,46.55621217534948
70,0.0034770674459125572,0.5686878571103815,0.05202602802936537,0.6647434873073271,0,59.44457417919092,38.96342626520279
71,0.2290538333585888,0.7497682054479383,0.20041652465144477,0.6325257120054182,2,47.250761705148676,70.8815309137738
72,0.00426307306568699,0.7813712425883754,0.06530888203489112,0.3140104884256306,0,60.61822062152285,65.1885243833534
73,0.0021996518297811296,0.7035732822296812,0.11536765573517666,0.10148126254131454,1,65.42518047718418,50.85652106469225
74,0.12106968655825612,0.8741946070815383,0.06128722994824679,0.1571708808681193,0,91.2256102869546,60.10781100594975
75,0.07713348313913355,0.44967317755579067,0.09701180288192693,0.33312671112376624,3,21.379218794030052,47.29800834934902
76,-0.0021339915205464133,0.7630528072929634,0.025849472719107376,0.6143176504141907,1,64.97323733278309,38.35816376718663
77,0.8423557639886137,0.5875420655631335,0.0764255692193482,0.3024349609071686,1,75.70195152750476,48.02895811303892
78,0.07907553200608723,0.7051756062657225,0.05671519867610131,0.3080994672556373,1,99.89069277150804,52.818056106956476
79,0.058944509357539324,0.9326923868580267,0.09241577817746484,0.05276964017963606,0,79.26681367023734,33.0503853943806
80,0.27055052204975516,0.854232913627002,0.07608378968655795,0.07815956691565687,0,41.66559752600627,52.34237293657232
81,0.3998864551409679,0.7425699825408633,0.0886122115081101,1.239934857601471,0,80.42038861592644,26.37205445858762
82,-0.007191020603601911,0.4988640067578891,0.03233069550232777,0.02158369110124636,0,100.15077608085664,52.12308934922952
83,-0.005532889826366544,0.8062368657516137,0.1459123909221388,0.9067695743595399,0,89.51833192269486,80.31782964834383
84,0.18354544955684857,0.4561225432866183,0.1024464116802723,0.29597690549764044,2,87.43967029744893,70.963242098964
85,0.09017443959563326,0.3790026243926174,0.07527489180326169,0.2522543335386674,4,65.67560859394013,69.42249565569094
86,0.013229907673810604,0.5386957624805206,0.11608734074386126,0.02477146271342706,1,53.137552977645896,97.01817931197165
87,0.3564336786694936,0.8944024218601883,0.055838674442794695,0.23628658715800174,0,85.99044696364122,81.14191250272002
88,0.033311544212398125,0.38263985516898485,0.17413571771912179,0.003052409015370766,2,61.86029715245354,84.69734382218711
